id,title,description,presenters,date_created,date_modified,location,talk_dt,year,label
1,5 ways to deploy your Python web app in 2017,You’ve built a fine Python web application and now you’re ready to share it with the world. But what’s the best way to deploy your app in 2017?  This talk will demonstrate popular techniques for deploying Python web applications. We’ll start with a simple Flask application and expose it to the world five times over as we learn to use different tools and services available to the modern Python developer.  Specific topics covered include:   Exposing your local dev environment with ngrok Using a Platform-as-a-Service (PaaS) like Heroku Going “serverless” with AWS Lambda Configuring your own VM with Google Compute Engine Thinking inside the box using Docker   We’ll also briefly touch on the pros and cons of each technique to help you figure out which one is right for your app.  At the end of this talk you will have a basic understanding of how each of these techniques work and you’ll be ready to try them out yourself.,Andrew T. Baker,2018-04-19 00:59:20.151875,2018-04-19 00:59:20.151875,Portland Ballroom 252–253,2017-05-08 15:15:00.000000,2017,0.0
2,A gentle introduction to deep learning with TensorFlow,"Deep learning's explosion of spectacular results over the past few years may make it appear esoteric and daunting, but in reality, if you are familiar with traditional machine learning, you're more than ready to start exploring deep learning. This talk aims to gently bridge the divide by demonstrating how deep learning operates on core machine learning concepts and getting attendees started coding deep neural networks using Google's TensorFlow library.",Michelle Fullwood,2018-04-19 00:59:20.158338,2018-04-19 00:59:20.158338,Oregon Ballroom 203–204,2017-05-08 16:15:00.000000,2017,0.0
3,aiosmtpd - A better asyncio based SMTP server,"smtpd.py has been in the standard library for many years.  It's been a common tool for deploying SMTP and LMTP servers that handle email-based communication in Python, providing both basic protocol implementations and a fundamental module for higher level tools, such as lazr.smtptest for testing email clients.  Based on asyncore and asynchat, smtpd.py is showing its age, and its API is unwieldy.  Fortunately, there's a new alternative available.  aiosmtpd is a modern reinvention based on asyncio, with all the improvements that come along with such a new implementation.  It provides servers for both the SMTP and LMTP protocols, as well as a higher level ""controller"" API for testing SMTP and LMTP clients.  It exposes a much better API for customization, allowing the user to associate a simple ""handler"" to process incoming messages without having to worry about the details of the protocols, and it provides some useful hooks for subclassing.  This talk will describe the purpose and history of smtpd.py and aiosmtpd, show how users can extend the servers and implement specialized handlers, and show how applications can use the testing API for ensuring that their email sending applications do the right things.  Examples will be taken from GNU Mailman 3, which uses aiosmtpd extensively.",Barry Warsaw,2018-04-19 00:59:20.161866,2018-04-19 00:59:20.161866,Oregon Ballroom 203–204,2017-05-08 14:30:00.000000,2017,1.0
4,Algorithmic Music Generation,"Music is mainly an artistic act of inspired creation and is unlike some of the traditional math problems.  Music cannot be solved by a simple set of formulae. The most interesting and challenging part is producing unique music without infringing the copyright. The generated music has to sound good, and what sounds good is very subjective and varies from culture to culture.  Artificial Neural Network/Deep Learning has a wide range of applications, such as in Image processing, Natural language processing, Time series prediction, etc. But what about its usage in art? Could we use deep learning to create music?   This talk is about how deep learning models were used to produce music - catering particularly to Bollywood.  This talk would show how an exquisite piece of art i.e. music can be generated using deep learning model which helps in automated feature extraction. In order to automate the music generation, the model must be able to remember the learned features over the longer period of time, this is achieved by a special type of Recurrent Neural Network (RNN) called as LSTM (Long Short Term Memory) network.   Implementation of such complex model can be made much easier using inbuilt Python libraries such as Keras with Theano as backend. It allows for easy and fast prototyping. Packages like numpy and scipy are being used for easier mathematical computation of input vectors and for reading/writing the WAV files respectively. The neural network architecture makes use of numerous amount of music samples to train the model. After an adequate number of iterations and training time, this model generates music that is unique and original.   In this talk, steps involved in preprocessing of data, training the model, testing the model and generating the music from the trained model will be discussed. This talk will also cover some of the challenges and tradeoffs made for algorithmic music generation.",Padmaja V Bhagwat,2018-04-19 00:59:20.165526,2018-04-19 00:59:20.165526,Portland Ballroom 251 & 258,2017-05-08 17:10:00.000000,2017,0.0
5,An Introduction to Reinforcement Learning,"Reinforcement learning (RL) is a subfield of machine learning focused on building agents: software that can robustly achieve a desired objective under varying states of the world. This introduction will provide you with an overview of RL and tools to build your own agents.  In this talk, we will provide an overview of terminology in reinforcement learning and a Jupyter Notebook outlining basic algorithms to learn 'policies', strategies for an agent, and visualize them with numpy, pandas, and seaborn.  Newer developments in reinforcement learning apply deep learning to improve performance.  We will further discuss deep reinforcement learning and how to use deep learning libraries, such as TensorFlow or Theano, with the latest RL libraries: OpenAI Gym, OpenAI Universe, and DeepMind Lab.",Jessica Forde,2018-04-19 00:59:20.169075,2018-04-19 00:59:20.169075,Portland Ballroom 252–253,2017-05-08 13:40:00.000000,2017,0.0
6,async/await and asyncio in Python 3.6 and beyond,"The talk overviews async/await, asynchronous generators and comprehensions in Python 3.6 and the asyncio module. We'll discuss when and how asyncio should be used in a modern applications and services, what is uvloop, and what asyncio frameworks and libraries one should use. I'll share our ideas about where asyncio is headed and what to expect in Python 3.7.",Yury Selivanov,2018-04-19 00:59:20.172481,2018-04-19 00:59:20.172481,Oregon Ballroom 203–204,2017-05-08 13:10:00.000000,2017,0.0
7,Asynchronous Python for the Complete Beginner,"With the introduction of the asyncio package in Python 3.4, you can hear lots of people talking about asynchronous programming, most in a favorable way, some not so much. In this talk, I will tell you what this async fever is about and what can it do for you that regular Python can't, not only with asyncio, but also with other frameworks that existed long before it.",Miguel Grinberg,2018-04-19 00:59:20.176699,2018-04-19 00:59:20.176699,Oregon Ballroom 203–204,2017-05-08 13:50:00.000000,2017,0.0
8,Automate AWS With Python,"AWS is one of the best-known cloud vendors. Using the Web UI is fine when starting out, but automating cloud operations is important. Boto3 provides a great Pythonic API to AWS, but using it correctly can be subtle.  The talk will cover how to automate AMI builds, building Cloud Formation Templates and automating S3 bucket management.",Moshe Zadka,2018-04-19 00:59:20.182110,2018-04-19 00:59:20.182110,Portland Ballroom 252–253,2017-05-08 10:50:00.000000,2017,1.0
19,"Decorators, unwrapped: How do they work?","Decorators are a syntactically-pleasing way of modifying the behavior of functions in Python. However, they can be highly opaque to Python beginners. It took me a while to learn how to write one, and even after I was confident writing my own decorators, felt like they were magical. The goal of this talk is to demystify decorators by methodically stepping through how and why they work. Along the way we'll touch on closures, scopes, and how Python is compiled.",Katie Silverio,2018-04-19 00:59:20.245856,2018-04-19 00:59:20.245856,Oregon Ballroom 201–202,2017-05-08 14:35:00.000000,2017,1.0
9,Awesome Command Line Tools,"Designing a good command line tool is challenging. Command line tools look archaic compared to modern graphical interfaces, discoverability is a big issue for command line tools, proactive help is hard to implement. This talk will cover a set of specific techniques to help alleviate those challenges.  How did pgcli and mycli overcome these problems? We will cover specific examples where command line apps shine. The examples will be drawn from pgcli, mycli and bpython. This talk will suggest libraries and show how they can help you implement a wonderful command line interface.   The libraries covered in this talk include python-prompt-toolkit,  pygments, click, fuzzyfind.  The goal of the talk is to distil the ideas that exist in successful command line applications as guidelines for building powerful command line applications.",Amjith Ramanujam,2018-04-19 00:59:20.188953,2018-04-19 00:59:20.188953,Portland Ballroom 252–253,2017-05-08 11:30:00.000000,2017,1.0
